001,Kafka to Influx - Run 1
002,Kafka to Influx - Run 2
3680522290,influx-loadtest run 3680522290
3680604531,influx-loadtest run 3680604531
3689491296,main run 36894912963695603463,main run 3695603463
3695728330,influx run 3695728330
3696478010,influx run 3696478010
3696814597,influx-proxy run 3696814597
3696986828,kafka-influx run 3696986828
3697613456,kafka-influx run 3697613456
3720458740,influx-proxy run 3720458740
3721297035,kafka-influx run 3721297035
3721365106,influx-proxy run 3721365106
